dpp_module;subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;tool;cardinality;mapping_justification
dpp-product;http://www.w3id.org/dpp#Component;http://www.w3id.org/dpp;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/Component;Component;Component;0.9858;AML;=;
dpp-product;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-product;http://www.w3id.org/dpp#Material;http://www.w3id.org/dpp;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/Material;Material;Material;0.9801;AML;=;
dpp-material;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp_material;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-material;http://bimerr.iot.linkeddata.es/def/material-properties#Material;http://www.w3id.org/dpp_material;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/Material;Material;Material;0.9801;AML;=;
dpp-material;http://www.w3id.org/dpp#Consumer;http://www.w3id.org/dpp_material;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-prov/Consumer;Consumer;Consumer;0.9801;AML;=;
dpp-material;http://www.w3id.org/dpp#ConsumerRole;http://www.w3id.org/dpp_material;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/ConsumerProduct;ConsumerRole;ConsumerProduct;0.7351;AML;=;
dpp-material;http://www.w3id.org/dpp#Material;http://www.w3id.org/dpp_material;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/MaterialDPP;Material;MaterialDPP;0.7098;AML;=;
dpp-manufacturer;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/manufacturer;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-environment;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/environmentalImpact;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-use-maintenance;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/UseAndMaintenance;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-EOL-Management;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/EoL;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-EOL-Management;http://www.w3id.org/dpp/EoL#Consumer;http://www.w3id.org/dpp/EoL;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-prov/Consumer;Consumer;Consumer;0.9801;AML;=;
dpp-standard;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/standard;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-certification;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/certification;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-classification;http://www.w3id.org/dpp#Component;http://www.w3id.org/dpp/classification;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/Component;Component;Component;0.9801;AML;=;
dpp-classification;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/classification;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-classification;http://www.w3id.org/dpp#Material;http://www.w3id.org/dpp/classification;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/Material;Material;Material;0.9801;AML;=;
dpp-suppluchain;http://www.w3id.org/dpp#Product;http://www.w3id.org/dpp/SupplyChain;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
dpp-suppluchain;http://www.w3id.org/dpp/SupplyChain#Material;http://www.w3id.org/dpp/SupplyChain;http://w3id.org/dppo/ontology/dpp-full/;;http://w3id.org/dppo/ontology/dpp-full/Material;Material;Material;0.9801;AML;=;
