dpp_module;subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;tool;cardinality;mapping_justification
dpp-product;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.802;LogMap;=;
dpp-product;http://w3id.org/dpp#Component;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-core/Component;Component;Component;0.727;LogMap;=;
dpp-product;https://archive.org/services/purl/domain/modular_ontology_design_library/quantities#Unit;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-info/Unit;Unit;Unit;0.703;LogMap;=;
dpp-product;http://w3id.org/dpp#Material;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-core/Material;Material;Material;0.703;LogMap;=;
dpp-material;http://w3id.org/dpp#Unit;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-info/Unit;Unit;Unit;0.703;LogMap;=;
dpp-material;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.5;LogMap;=;
dpp-material;http://w3id.org/dpp#Consumer;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-prov/Consumer;Consumer;Consumer;0.5;LogMap;=;
dpp-manufacturer;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.5;LogMap;=;
dpp-environment;http://w3id.org/dpp#Unit;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-info/Unit;Unit;Unit;0.703;LogMap;=;
dpp-environment;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.703;LogMap;=;
dpp-use-maintenance;http://w3id.org/dpp#Unit;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-info/Unit;Unit;Unit;0.703;LogMap;=;
dpp-use-maintenance;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.5;LogMap;=;
dpp-EOL-Management;http://w3id.org/dpp#Unit;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-info/Unit;Unit;Unit;0.703;LogMap;=;
dpp-EOL-Management;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.703;LogMap;=;
dpp-EOL-Management;http://w3id.org/dpp#Consumer;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-prov/Consumer;Consumer;Consumer;0.5;LogMap;=;
dpp-standard;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.703;LogMap;=;
dpp-certification;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.703;LogMap;=;
dpp-classification;http://w3id.org/dpp#Component;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-core/Component;Component;Component;0.703;LogMap;=;
dpp-classification;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.703;LogMap;=;
dpp-classification;http://w3id.org/dpp#Material;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-core/Material;Material;Material;0.703;LogMap;=;
dpp-supplychain;http://w3id.org/dpp#Unit;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-info/Unit;Unit;Unit;0.703;LogMap;=;
dpp-supplychain;http://w3id.org/dpp#Product;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.5;LogMap;=;
dpp-supplychain;http://w3id.org/dpp#Material;http://w3id.org/dpp;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-core/Material;Material;Material;0.5;LogMap;=;
